text,label
工艺集成管理系统（Process Integrated Management System）的责任人是谁,1
赵六手机号码或者电话,0
发票录入后核验不通过，系统提示“数据不一致！”,1
我想知道张三的手机号,0
报价器（Quotation configure Tool）的责任人是谁,1
线缆设备维修保养系统（cable equipment maintenance system）的责任人是谁,1
我要知道张三的电话号码,0
你能告诉我宋七的电话吗？,0
张三的电话号码是,0
国际渠道管理系统（International Channel Management）的责任人是谁,1
统一认证平台（SSO）的责任人是谁,1
选择发票后系统提示“费发票抬头（A税号+A公司）错误，应为B税号+B公司”，如何处理？,1
张三手机号码或者电话,0
王五的电话号码是,0
基础开发平台（Base Develop Platform）的责任人是谁,1
案例库管理系统（ISSUE TO RESOLUTION ALK）的责任人是谁,1
出差搭同事的车/客户的车/公司的公车，没有发票信息怎么填写行程？机票由公司统一购买，飞机行程怎么填写？,1
技服LTC项目管理系统（Fiberhome Technical Services LTC Project Management System）的责任人是谁,1
国际LTC项目管理系统（International LTC Project Management System）的责任人是谁,1
发票影像系统（sscimage）的责任人是谁,1
驻外人员日常费用报销的流程是什么？,1
新型全电发票目前系统无法识别，要如何录入？,1
你能告诉我赵六的电话吗？,0
送审收单的流程是什么？,1
公司内部门户（Internal company protal）的责任人是谁,1
客户培训认证平台（Customer Training and Certification Platform）的责任人是谁,1
能否自行预定机票，后续如何报销？,1
你能告诉我张三的电话吗？,0
工程维护任务管理（GCWH）的责任人是谁,1
内贸外贸供应商月度资金支付系统（Supplier Month PAY）的责任人是谁,1
如何访问SSE,1
客户侧返修（CUSTOM ISSUE TO RESOLUTION BJFX）的责任人是谁,1
王五电话,0
烽火通的运维责任人是谁,1
李四手机号码或者电话,0
我想知道王五的手机号,0
对公费用申请时，有的成本中心选不到怎么办？,1
我要知道赵六的电话号码,0
宋七电话或者手机是多少,0
李四的电话号码是,0
电子标准作业指导书管理系统（e-Sop ）的责任人是谁,1
联系王五的手机号是多少,0
多张的士费发票需要一张张上传吗？,1
孔九电话或者手机是多少,0
工程验收管理系统（Project Acceptance Management System）的责任人是谁,1
合并报表管理报表系统（FCS）的责任人是谁,1
客户侧报单（CUSTOM ISSUE TO RESOLUTION GD）的责任人是谁,1
数据集成平台（Data Flow Platform）的责任人是谁,1
财务共享运营（SSC）的责任人是谁,1
你能告诉我孔九的电话吗？,0
金额为0的单据，为什么提交不了？,1
应用集成平台（FitAPI）的责任人是谁,1
国内LTC项目管理系统（Domestic LTC Project Management System）的责任人是谁,1
我要知道李四的电话号码,0
服务采购与供应商管理系统（Service Procurement And Supplier Management System）的责任人是谁,1
"选择发票时,页面点击打不开？",1
收款单位的收款信息怎么选不到了？,1
联系江八的手机号是多少,0
RMA终端返修平台（RMA）的责任人是谁,1
公共容器镜像仓库（Harbor）的责任人是谁,1
销售与分销管理（Sales & Distribution）的责任人是谁,1
联系张三的手机号是多少,0
供应商管理与协同系统（Supplier Management And Collaboration System）的责任人是谁,1
对公付款申请，收款方银行怎么搜不到？,1
李四电话,0
宋七电话,0
我要知道孔九的电话号码,0
流程体系平台（EPROS）（流程体系平台（EPROS））的责任人是谁,1
赵六的电话号码是,0
外事共享服务运营系统（Foreign Affairs Shared Service Operation System）的责任人是谁,1
SSE报销预览单据打印报错,1
录入费用明细后无法保存。,1
发票采集支持哪些格式？,1
研发物料管理（R&D Material Management）的责任人是谁,1
我想知道宋七的手机号,0
江八电话,0
我帮我们部门多人报销，系统支持付款给多个员工吗？,1
转岗后驻外信息未更新。,1
宋七手机号码或者电话,0
器件选型（CPS）的责任人是谁,1
联系赵六的手机号是多少,0
国际机票预定的流程是什么？,1
系统设备高级排程系统（advanced planning system）的责任人是谁,1
孔九手机号码或者电话,0
系统自动识别的发票销售方名称有误，如“烽视威”识别为“烽视成”，如何处理？,1
国际发票系统（International Invoice System）的责任人是谁,1
有孔九的手机号吗,0
